sample_id,source,split,cluster_id,target_admit,canonical_label,resolved_label,observation_id,session_id,frame_id,frame_index,tracklet_id,physical_key,join_distance,dedup_status,label_source,session_count,frame_count,support_count,dynamic_ratio,label_purity,mean_center_x,mean_center_y,mean_size_x,mean_size_y,is_forklift_like,is_infrastructure_like,cluster_session_count,cluster_frame_count,cluster_support_count,cluster_dynamic_ratio,cluster_label_purity,semantic_gate_score,mask_area_px,bbox_width,bbox_height,observation_index_path
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,cross_day,train,cluster_0002,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_004,2022-06-15__Aisle_CW_Run_2::000007::barrier_004,0.286425,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,31863.0,0.0,0.30161622166633606,1202.8154913222234,541.1014342654489,155.0,217.0,0,1,4.0,32.0,32.0,0.0,1.0,0.30161622166633606,31863.0,155.0,217.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_006,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_006,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_006,2022-06-15__Aisle_CW_Run_2::000007::work_table_006,0.161212,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,1279.0,0.0,0.27730780839920044,339.68491008600466,339.23534010946054,58.0,23.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.27730780839920044,1279.0,58.0,23.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_007,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_007,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_007,2022-06-15__Aisle_CW_Run_2::000007::work_table_007,0.411935,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,770.0,0.0,0.2720067799091339,221.52337662337663,345.912987012987,29.0,38.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.2720067799091339,770.0,29.0,38.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_001,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_001,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_001,2022-06-23__Aisle_CW_Run_1::000007::forklift_001,0.197882,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,6036.0,1.0,0.48785141110420227,56.50347912524851,352.64910536779325,146.0,89.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.48785141110420227,6036.0,146.0,89.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,cross_day,train,cluster_0001,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_002,2022-06-23__Aisle_CW_Run_1::000007::barrier_002,0.094713,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,13585.0,0.0,0.4392645061016083,322.0632315053368,462.3855723224144,141.0,106.0,0,1,4.0,32.0,32.0,0.0,1.0,0.4392645061016083,13585.0,141.0,106.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_003,cross_day,train,cluster_0002,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_003,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_003,2022-06-23__Aisle_CW_Run_1::000007::barrier_003,0.07781,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,44498.0,0.0,0.37002143263816833,1166.4805833970065,543.7966650186526,230.0,214.0,0,1,4.0,32.0,32.0,0.0,1.0,0.37002143263816833,44498.0,230.0,214.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,cross_day,train,cluster_0006,1,warehouse rack,warehouse rack,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_004,2022-06-23__Aisle_CW_Run_1::000007::warehouse_rack_004,0.577664,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,8501.0,0.0,0.36279284954071045,667.0598753087872,338.540995177038,131.0,80.0,0,1,4.0,29.0,29.0,0.0,0.8275862068965517,0.36279284954071045,8501.0,131.0,80.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_005,cross_day,train,cluster_0009,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_005,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_005,2022-06-23__Aisle_CW_Run_1::000007::forklift_005,0.000288,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,1597.0,1.0,0.2846662998199463,438.8948027551659,348.4358171571697,41.0,53.0,1,0,1.0,6.0,6.0,0.8333333333333334,0.8333333333333334,0.2846662998199463,1597.0,41.0,53.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_006,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_006,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_006,2022-06-23__Aisle_CW_Run_1::000007::forklift_006,0.387007,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,2544.0,1.0,0.27778542041778564,173.58883647798743,350.1434748427673,58.0,55.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.27778542041778564,2544.0,58.0,55.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_007,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_007,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_007,2022-06-23__Aisle_CW_Run_1::000007::work_table_007,0.194175,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,2221.0,0.0,0.33281874656677246,367.29896443043674,352.4561008554705,80.0,44.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.33281874656677246,2221.0,80.0,44.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_008,cross_day,train,cluster_0008,1,warehouse rack,warehouse rack,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_008,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_008,2022-06-23__Aisle_CW_Run_1::000007::warehouse_rack_008,0.168231,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,35680.0,0.0,0.33092713356018066,949.6310538116592,331.88130605381167,402.0,114.0,0,1,2.0,19.0,19.0,0.0,0.8947368421052632,0.33092713356018066,35680.0,402.0,114.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_009,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_009,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_009,2022-06-23__Aisle_CW_Run_1::000007::work_table_009,0.267852,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,5126.0,0.0,0.31321629881858826,329.0257510729614,354.3566133437378,192.0,45.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.31321629881858826,5126.0,192.0,45.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_001,cross_day,train,cluster_0002,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_001,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_001,2022-06-23__Aisle_CW_Run_2::000007::barrier_001,0.468074,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,68489.0,0.0,0.489122599363327,1075.5238213435734,576.5210033728044,312.0,263.0,0,1,4.0,32.0,32.0,0.0,1.0,0.489122599363327,68489.0,312.0,263.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_002,cross_day,train,cluster_0005,1,work table,work table,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_002,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_002,2022-06-23__Aisle_CW_Run_2::000007::work_table_002,0.27685,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,4019.0,0.0,0.7378487586975098,381.76735506344863,356.59741229161483,118.0,43.0,0,1,4.0,51.0,51.0,0.0,0.9411764705882353,0.7378487586975098,4019.0,118.0,43.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_003,cross_day,train,cluster_0001,1,barrier,barrier,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_003,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_003,2022-06-23__Aisle_CW_Run_2::000007::barrier_003,0.235432,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,15263.0,0.0,0.3782550096511841,226.43038721090218,471.80436349341545,153.0,113.0,0,1,4.0,32.0,32.0,0.0,1.0,0.3782550096511841,15263.0,153.0,113.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_004,cross_day,train,cluster_0006,1,warehouse rack,warehouse rack,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_004,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_004,2022-06-23__Aisle_CW_Run_2::000007::warehouse_rack_004,0.610727,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,7881.0,0.0,0.31501808762550354,668.7231315822866,341.86689506407816,118.0,80.0,0,1,4.0,29.0,29.0,0.0,0.8275862068965517,0.31501808762550354,7881.0,118.0,80.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_005,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_005,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_005,2022-06-23__Aisle_CW_Run_2::000007::forklift_005,0.43398,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,2631.0,1.0,0.3539747893810272,186.76016723679209,353.3063473964272,57.0,52.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.3539747893810272,2631.0,57.0,52.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_006,cross_day,train,cluster_0004,0,forklift,forklift,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007_006,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_000007,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2_006,2022-06-23__Aisle_CW_Run_2::000007::forklift_006,0.259172,raw,weak_cluster_selection_v5_nearest_label_geometry_join,1.0,1.0,4604.0,1.0,0.31790265440940857,74.27736750651607,367.60403996524764,160.0,35.0,1,0,4.0,61.0,59.0,0.9152542372881356,0.9152542372881356,0.31790265440940857,4604.0,160.0,35.0,outputs/torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_2/observation_output/observations_index.json
