review_id,sample_id,source,split,session_id,frame_id,frame_index,object_name,tracklet_id,canonical_label,resolved_label,current_weak_label,model_prediction,model_probability,rule_proxy_fields,reason_for_review,risk_tags,image_or_artifact_reference,recommended_review_question,human_admit_label,human_label_confidence,human_notes,reviewer_priority,evidence_status,review_hint
p194_review_0011,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007,7,rack_forklift_003,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_003,forklift,forklift,0,0,9.8e-05,"{""dynamic_ratio"": 1.0, ""label_purity"": 0.34790676832199097, ""is_forklift_like"": 1, ""is_infrastructure_like"": 0, ""canonical_label"": ""forklift"", ""resolved_label"": ""forklift"", ""cluster_id"": ""cluster_0010""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW/frontend_output/rack_forklift_003_overlay.png,"Should this forklift observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,17,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0012,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_007,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007,7,barrier_007,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_007,barrier,barrier,1,1,0.513526,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.270705908536911, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0006""}",near_decision_threshold;category_proxy_sensitive,near_threshold;proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW/frontend_output/barrier_007_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,5,existing,"Priority basis: near_threshold,proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0013,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_003,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,7,work_table_003,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_003,work table,work table,1,1,0.758943,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.3813738524913788, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0013""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/frontend_output/work_table_003_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,18,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0014,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_004,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007,7,barrier_004,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_004,barrier,barrier,1,1,0.91915,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.29591473937034607, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0006""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW/frontend_output/barrier_004_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,19,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0015,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_004,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001,1,work_table_004,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_004,work table,work table,1,1,0.999852,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.33620133996009827, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0007""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW/frontend_output/work_table_004_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,20,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0016,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001_005,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_000001,1,barrier_005,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW_005,barrier,barrier,1,1,0.998735,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.29581010341644287, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0012""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Straight_CCW/frontend_output/barrier_005_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,21,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0017,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_002,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,7,barrier_002,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_002,barrier,barrier,1,1,0.999937,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.42183735966682434, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""barrier"", ""resolved_label"": ""barrier"", ""cluster_id"": ""cluster_0001""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/barrier_002_overlay.png,"Should this barrier observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,22,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0018,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,7,warehouse_rack_006,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_006,warehouse rack,warehouse rack,0,1,0.993245,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.31414633989334106, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0004""}",model_false_admit_against_current_weak_label;category_proxy_sensitive;infrastructure_rejected_boundary_case,false_positive;proxy_sensitive;infra_reject_boundary,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_006_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,1,existing,"Priority basis: false_positive,proxy_sensitive,infrastructure_boundary. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0019,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_007,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007,7,warehouse_rack_007,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_007,warehouse rack,warehouse rack,1,1,0.998808,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.2761519253253937, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0005""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW/frontend_output/warehouse_rack_007_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,23,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0020,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007_006,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_000007,7,warehouse_rack_006,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW_006,warehouse rack,warehouse rack,0,1,0.994751,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.3007708191871643, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0004""}",model_false_admit_against_current_weak_label;category_proxy_sensitive;infrastructure_rejected_boundary_case,false_positive;proxy_sensitive;infra_reject_boundary,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Straight_CCW/frontend_output/warehouse_rack_006_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,2,existing,"Priority basis: false_positive,proxy_sensitive,infrastructure_boundary. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0021,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_006,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,7,warehouse_rack_006,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_006,warehouse rack,warehouse rack,0,1,0.993245,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.31414633989334106, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0004""}",model_false_admit_against_current_weak_label;category_proxy_sensitive;infrastructure_rejected_boundary_case,false_positive;proxy_sensitive;infra_reject_boundary,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_006_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,3,existing,"Priority basis: false_positive,proxy_sensitive,infrastructure_boundary. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0022,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007_007,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_000007,7,warehouse_rack_007,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2_007,warehouse rack,warehouse rack,1,1,0.998808,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.2761519253253937, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""warehouse rack"", ""resolved_label"": ""warehouse rack"", ""cluster_id"": ""cluster_0005""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Full_CW_Run_2/frontend_output/warehouse_rack_007_overlay.png,"Should this warehouse rack observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,24,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
p194_review_0023,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007_001,hallway,test,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW,torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_000007,7,work_table_001,trk_torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW_001,work table,work table,1,1,0.957705,"{""dynamic_ratio"": 0.0, ""label_purity"": 0.28784236311912537, ""is_forklift_like"": 0, ""is_infrastructure_like"": 1, ""canonical_label"": ""work table"", ""resolved_label"": ""work table"", ""cluster_id"": ""cluster_0009""}",category_proxy_sensitive,proxy_sensitive,/home/rui/slam/outputs/torwic_hallway_benchmark_batch2_v1__2022-10-12__Hallway_Straight_CCW/frontend_output/work_table_001_overlay.png,"Should this work table observation be admitted into the persistent map? Use visual/object evidence, not the current selection_v5 weak label. If unsure, mark uncertain and explain whether it is stable infrastructure, movable clutter, or dynamic agent.",,,,25,existing,"Priority basis: proxy_sensitive. Judge visual/object evidence only; do not copy current_weak_label, category, or rule_proxy_fields."
