audit_sample_id,p203_index_row_id,row_source,row_role,sample_id,observation_id,source,session_id,frame_index,tracklet_id,physical_key,path_count,paths_existing,paths_readable,row_dimensions,row_dimensions_consistent,segmentation_nontrivial_count,depth_nonzero_pixel_count,issue_level,issue_codes,warning_codes
p204_013,p203_00109,p193,observation,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_002,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_002,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW,7,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_002,2022-10-12__Aisle_CW::000007::work_table_002,6,6,6,1280x720,True,4,294499,WARN,,duplicate_session_frame
p204_014,p203_00113,p199,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_003,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_000007_003,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CW_003,2022-06-15__Hallway_Full_CW::000007::work_table_003,6,6,6,1280x720,True,4,471987,OK,,
p204_015,p203_00116,p199,observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_006,2022-06-23__Hallway_Full_CW::000007::warehouse_rack_006,6,6,6,1280x720,True,4,329308,WARN,,duplicate_sample_id
p204_016,p203_00172,p199,observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_004,2022-06-15__Aisle_CW_Run_1::000007::barrier_004,6,6,6,1280x720,True,4,464205,WARN,,duplicate_sample_id;duplicate_session_frame
p204_017,p203_00207,p199,observation,same_day:obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_005,obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_005,same_day,torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1,7,trk_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_005,2022-06-15__Aisle_CCW_Run_1::000007::forklift_005,6,6,6,1280x720,True,4,463435,WARN,,duplicate_session_frame
p204_018,p203_00213,p199,observation,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_003,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_000007_003,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW,7,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CW_003,2022-10-12__Aisle_CW::000007::forklift_003,6,6,6,1280x720,True,4,294499,WARN,,duplicate_session_frame
p204_019,p203_00221,p197_boundary,review_observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_004,,6,6,6,1280x720,True,4,464205,WARN,,duplicate_sample_id;duplicate_session_frame
p204_020,p203_00223,p197_boundary,review_observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_004,,6,6,6,1280x720,True,4,449233,WARN,,duplicate_sample_id;duplicate_session_frame
p204_021,p203_00225,p197_boundary,review_observation,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,7,trk_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_004,,6,6,6,1280x720,True,4,333913,WARN,,duplicate_session_frame
p204_022,p203_00229,p197_boundary,review_observation,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_002,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_002,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW,7,trk_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_002,,6,6,6,1280x720,True,4,292161,OK,,
p204_023,p203_00231,p197_boundary,review_observation,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,obs_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_000007_003,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW,7,trk_torwic_hallway_benchmark_batch2_v1__2022-06-15__Hallway_Full_CCW_003,,6,6,6,1280x720,True,4,326896,WARN,,duplicate_sample_id;duplicate_session_frame
p204_024,p203_00248,p197_boundary,review_observation,same_day:obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_003,obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_003,same_day,torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1,7,trk_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_003,,6,6,6,1280x720,True,4,463435,WARN,,duplicate_sample_id;duplicate_session_frame
p204_025,p203_00259,p197_pair,pair_side_a,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_006,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,000007,,,6,6,6,1280x720,True,4,329308,WARN,,duplicate_sample_id;duplicate_session_frame
p204_026,p203_00265,p197_pair,pair_side_a,hallway:obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_002,obs_torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW_000007_002,hallway,torwic_hallway_benchmark_batch2_v1__2022-06-23__Hallway_Full_CW,000007,,,6,6,6,1280x720,True,4,329308,WARN,,duplicate_session_frame
p204_027,p203_00285,p197_pair,pair_side_a,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_006,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_006,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,000007,,,6,6,6,1280x720,True,4,333913,WARN,,duplicate_session_frame
p204_028,p203_00309,p197_pair,pair_side_a,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1_000007_003,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_1,000007,,,6,6,6,1280x720,True,4,464205,WARN,,duplicate_sample_id
p204_029,p203_00310,p197_pair,pair_side_b,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,obs_torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2_000007_004,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-15__Aisle_CW_Run_2,000007,,,6,6,6,1280x720,True,4,449233,WARN,,duplicate_sample_id
p204_030,p203_00311,p197_pair,pair_side_a,cross_day:obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,obs_torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1_000007_002,cross_day,torwic_cross_day_aisle_bundle_v1__2022-06-23__Aisle_CW_Run_1,000007,,,6,6,6,1280x720,True,4,333913,WARN,,duplicate_sample_id;duplicate_session_frame
p204_031,p203_00315,p197_pair,pair_side_a,cross_month:obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_003,obs_torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW_000007_003,cross_month,torwic_cross_month_aisle_bundle_v1__2022-10-12__Aisle_CCW,000007,,,6,6,6,1280x720,True,4,292161,OK,,
p204_032,p203_00459,p197_pair,pair_side_a,same_day:obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_003,obs_torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1_000007_003,same_day,torwic_same_day_aisle_bundle_v1__2022-06-15__Aisle_CCW_Run_1,000007,,,6,6,6,1280x720,True,4,463435,WARN,,duplicate_sample_id
